Computed reward for each iterations     &    depth of the search
05316     0.8293     3
05317     0.5817     1
05318     0.9920     3
05319     0.9840     4
05320     0.9599     4
05321     0.8604     3
05322     0.9614     3
05323     0.9792     3
05324     0.9542     3
05325     0.9903     3
05326     0.9343     3
05327     0.9898     3
05328     0.9119     3
05329     1.0000     3
05330     0.9551     3
05331     0.9936     3
05332     0.9117     3
05333     0.9919     3
05334     0.9600     2
05335     0.9966     2
05336     0.9692     2
05337     0.9392     2
05338     0.9696     2
05339     0.9920     2
05340     0.9762     2
05341     0.9932     2
05342     0.9855     2
05343     0.9520     2
05344     0.9410     2
05345     0.9688     2
05346     0.9805     2
05347     0.9856     2
05348     0.9776     2
05349     0.9440     2
05350     0.9952     2
05351     0.9376     2
05352     0.9608     2
05353     0.9920     2
05354     0.9183     2
05355     0.9983     2
05356     0.9474     2
05357     0.9472     2
05358     0.9663     2
05359     0.9416     2
05360     0.9901     2
05361     0.9404     2
05362     0.9878     2
05363     0.9436     2
05364     0.9581     2
05365     0.9280     2
05366     0.9819     2
05367     0.9901     2
05368     0.9423     2
05369     0.9334     2
05370     0.9792     2
05371     0.9901     2
05372     0.9517     2
05373     0.9773     2
05374     0.9984     2
05375     1.0000     2
05376     0.9647     2
05377     0.9578     2
05378     0.9581     2
05379     0.9904     2
05380     0.9599     2
05381     0.9951     2
05382     0.9188     2
05383     0.9744     2
05384     0.9567     2
05385     0.9824     2
05386     0.9650     2
05387     0.9440     2
05388     0.9215     2
05389     0.9343     2
05390     0.9872     2
05391     0.9704     2
05392     0.9792     2
05393     0.9904     2
05394     0.9659     2
05395     0.9520     2
05396     0.9338     2
05397     0.9917     2
05398     0.9935     2
05399     0.9679     2
05400     0.9888     2
05401     0.9487     2
05402     0.9872     2
05403     0.9904     2
05404     0.9791     2
05405     0.9856     2
05406     0.9841     2
05407     0.9819     2
05408     0.9951     2
05409     0.9856     2
05410     0.9949     2
05411     0.9824     2
05412     0.9296     2
05413     0.9737     2
05414     0.9034     2
05415     0.9708     2
05416     0.9221     2
05417     0.9500     2
05418     0.9742     2
05419     0.9770     2
05420     0.9808     2
05421     0.9776     2
05422     0.9439     2
05423     1.0000     2
05424     0.9805     2
05425     0.9966     2
05426     1.0000     2
05427     0.9614     2
05428     0.9984     2
05429     0.9951     2
05430     0.9712     2
05431     0.9888     2
05432     0.9887     2
05433     0.9167     2
05434     0.9768     2
05435     0.9768     2
05436     0.9768     2
05437     0.9768     2
05438     0.9768     2
05439     0.9768     2
05440     0.9768     2
05441     0.9768     2
05442     0.9768     2
05443     0.9768     2
05444     0.9768     2
05445     0.9768     2
05446     0.9768     2
05447     0.9768     2
05448     0.9773     3
05449     0.9497     3
05450     0.9936     3
05451     1.0000     3
05452     1.0000     3
05453     1.0000     3
05454     0.9968     3
05455     0.9728     3
05456     0.9968     3
05457     1.0000     3
05458     0.9839     3
05459     0.9887     3
05460     0.9610     3
05461     0.9678     3
05462     0.9680     3
05463     0.9768     2
05464     1.0000     3
05465     0.9768     2
05466     0.9984     3
05467     0.9768     2
05468     0.9631     3
05469     0.9768     2
05470     0.9632     3
05471     0.9768     2
05472     0.9984     3
05473     0.9768     2
05474     0.9901     3
05475     0.9768     2
05476     0.9952     3
05477     0.9984     3
05478     0.9768     2
05479     0.9984     3
05480     0.9768     2
05481     0.9856     3
05482     0.9768     2
05483     1.0000     3
05484     0.9768     2
05485     0.9951     3
05486     0.9768     2
05487     0.9754     3
05488     0.9768     2
05489     0.9263     3
05490     0.9768     2
05491     1.0000     3
05492     0.9768     2
05493     0.9888     3
05494     0.9768     2
05495     0.9952     3
05496     0.9768     2
05497     0.9712     3
05498     0.9768     2
05499     0.9513     3
05500     0.9768     2
05501     0.9919     3
05502     0.9614     4
05503     0.9920     4
05504     0.9983     4
05505     0.9688     4
05506     0.9856     4
05507     0.9887     4
05508     0.9918     4
05509     0.9792     4
05510     0.9615     4
05511     0.9888     4
05512     0.9948     4
05513     0.9340     4
05514     0.9983     4
05515     0.9839     4
05516     0.9583     4
05517     0.9934     4
05518     0.9936     4
05519     0.9728     4
05520     0.9783     4
05521     0.9952     4
05522     1.0000     4
05523     0.9984     4
05524     0.9545     4
05525     0.9856     4
05526     0.9578     4
05527     0.9765     3
05528     0.9231     4
05529     0.9487     4
05530     0.9765     3
05531     0.9356     4
05532     0.9683     4
05533     0.9765     3
05534     0.9838     4
05535     0.9768     2
05536     0.9984     4
05537     0.9471     3
05538     0.9768     2
05539     0.9765     3
05540     0.9789     3
05541     0.9768     2
05542     0.9520     4
05543     0.9871     3
05544     0.9768     2
05545     0.9659     4
05546     0.9253     3
05547     0.9768     2
05548     0.9765     3
05549     0.9517     3
05550     0.9768     2
05551     0.9808     4
05552     1.0000     3
05553     0.9768     2
05554     0.9756     4
05555     0.9819     3
05556     0.9768     2
05557     0.9765     3
05558     1.0000     3
05559     0.9768     2
05560     0.9517     4
05561     0.9824     3
05562     0.9768     2
05563     0.9712     3
05564     0.9870     4
05565     0.9768     2
05566     0.9840     3
05567     0.9765     3
05568     0.9768     2
05569     0.9952     3
05570     0.9951     4
05571     0.9768     2
05572     0.9826     3
05573     0.9481     4
05574     0.9768     2
05575     0.9920     3
05576     0.9765     3
05577     0.9167     3
05578     0.9768     2
05579     0.9886     4
05580     0.9768     2
05581     1.0000     3
05582     0.9765     3
05583     0.9768     2
05584     0.9663     3
05585     0.9756     4
05586     0.9768     2
05587     0.9984     3
05588     0.9529     4
05589     0.9768     2
05590     0.9936     3
05591     0.9765     3
05592     0.9710     3
05593     0.9768     2
05594     0.9680     4
05595     0.9760     3
05596     0.9768     2
05597     0.9936     4
05598     0.9861     3
05599     0.9768     2
05600     0.9765     3
05601     1.0000     3
05602     0.9768     2
05603     0.9952     3
05604     0.9119     4
05605     0.9768     2
05606     0.9949     3
05607     0.9768     2
05608     0.9856     3
05609     0.9740     4
05610     0.9768     2
05611     0.9647     3
05612     0.9765     3
05613     0.9768     2
05614     0.9983     3
05615     0.9968     4
05616     0.9984     3
05617     0.9768     2
05618     0.9663     4
05619     0.9287     3
05620     0.9768     2
05621     0.9765     3
05622     0.9768     2
05623     0.9823     3
05624     0.9968     4
05625     0.9768     2
05626     0.9812     4
05627     0.9936     3
05628     0.9952     3
05629     0.9768     2
05630     0.9765     3
05631     1.0000     3
05632     0.9768     2
05633     0.9647     4
05634     0.9916     3
05635     0.9768     2
05636     0.9812     4
05637     0.9916     3
05638     0.9768     2
05639     0.9765     3
05640     0.9840     3
05641     0.9617     3
05642     0.9838     3
05643     0.9578     3
05644     0.9855     3
05645     0.9951     3
05646     0.9855     3
05647     0.9728     3
05648     0.9904     3
05649     0.9920     3
05650     0.9838     3
05651     0.9752     3
05652     0.9935     3
05653     0.9836     3
05654     0.9549     3
05655     0.9872     3
05656     0.9869     3
05657     0.9630     3
05658     0.9667     3
05659     0.9576     3
05660     0.9710     3
05661     0.9123     3
05662     0.9869     3
05663     0.9830     3
05664     0.9662     3
05665     0.9646     3
05666     0.9581     3
05667     0.9833     3
05668     0.9952     3
05669     0.9367     3
05670     0.9888     3
05671     0.9708     3
05672     0.9286     3
05673     0.9599     3
05674     0.9870     3
05675     0.9869     3
05676     0.9819     3
05677     0.9808     3
05678     0.9675     3
05679     0.9830     3
05680     0.9872     3
05681     0.9881     3
05682     0.9931     3
05683     0.9918     3
05684     0.9758     3
05685     0.9903     3
05686     0.9247     3
05687     0.9867     3
05688     1.0000     3
05689     0.9952     3
05690     0.9984     3
05691     0.9952     3
05692     0.9817     3
05693     0.9867     3
05694     0.9867     3
05695     0.9867     3
05696     0.9867     3
05697     0.9867     3
05698     0.9867     3
05699     0.9867     3
05700     0.9867     3
05701     0.9867     3
05702     0.9867     3
05703     0.9867     3
05704     0.9867     3
05705     0.9867     3
05706     0.9867     3
05707     0.9819     4
05708     0.9733     4
05709     0.9916     3
05710     0.9920     4
05711     0.9768     2
05712     0.9916     3
05713     0.9803     4
05714     0.9984     4
05715     0.9916     3
05716     0.9768     2
05717     0.9812     4
05718     1.0000     4
05719     0.9916     3
05720     0.9768     2
05721     0.9765     3
05722     0.9639     4
05723     0.9916     3
05724     0.9768     2
05725     0.9919     4
05726     0.9983     4
05727     0.9916     3
05728     0.9812     4
05729     0.9768     2
05730     0.9792     4
05731     0.9916     3
05732     0.9917     4
05733     0.9768     2
05734     0.9728     4
05735     0.9916     3
05736     0.9765     3
05737     0.9916     3
05738     0.9768     2
05739     0.9936     4
05740     0.9812     4
05741     0.9916     3
05742     0.9696     4
05743     0.9768     2
05744     0.9916     3
05745     0.9936     4
05746     0.9740     4
05747     0.9768     2
05748     0.9916     3
05749     0.9765     3
05750     0.9968     4
05751     0.9768     2
05752     0.9812     4
05753     0.9812     4
05754     0.9808     4
05755     0.9768     2
05756     0.9812     4
05757     0.9383     4
05758     0.9867     3
05759     0.9768     2
05760     0.9812     4
05761     0.9935     4
05762     0.9765     3
05763     0.9768     2
05764     0.9812     4
05765     0.9867     3
05766     0.9812     4
05767     0.9812     4
05768     0.9768     2
05769     1.0000     4
05770     0.9765     3
05771     0.9812     4
05772     0.9768     2
05773     0.9867     3
05774     0.9812     4
05775     0.9724     4
05776     0.9483     4
05777     0.8391     1
05778     0.9768     2
05779     0.9688     5
05780     0.9450     5
05781     0.9768     2
05782     0.9867     3
05783     0.9343     5
05784     0.9768     2
05785     0.9870     4
05786     0.9936     4
05787     0.9839     4
05788     0.8391     2
05789     0.9765     3
05790     0.8391     1
05791     0.9867     3
05792     0.9768     2
05793     0.9760     5
05794     0.9917     5
05795     0.9700     4
05796     0.9549     5
05797     0.9344     4
05798     0.9371     3
05799     0.9920     4
05800     0.9967     4
05801     0.9783     4
05802     0.8977     3
05803     1.0000     5
05804     0.9867     3
05805     0.8748     2
05806     0.9500     5
05807     0.9916     3
05808     1.0000     4
05809     0.9968     4
05810     0.8391     2
05811     0.9768     2
05812     0.9787     3
05813     0.9916     3
05814     0.8279     3
05815     1.0000     4
05816     0.9616     5
05817     0.9984     5
05818     0.9916     3
05819     0.9867     3
05820     0.9615     3
05821     0.9768     2
05822     0.9878     5
05823     0.8391     1
05824     0.9888     4
05825     0.8429     3
05826     0.9855     4
05827     0.9867     3
05828     0.9135     3
05829     0.9916     3
05830     0.9754     4
05831     0.9760     5
05832     0.9765     3
05833     0.9916     3
05834     0.9792     5
05835     0.9327     3
05836     0.8748     2
05837     0.9768     2
05838     0.9916     3
05839     0.9867     3
05840     0.9968     5
05841     0.9675     3
05842     0.9916     3
05843     0.9812     4
05844     0.9728     3
05845     0.9520     4
05846     0.8998     3
05847     0.9549     4
05848     0.9916     3
05849     0.9721     5
05850     0.9768     2
05851     0.9968     4
05852     1.0000     4
05853     0.9885     4
05854     0.9328     4
05855     0.8391     2
05856     0.9947     4
05857     0.9867     3
05858     0.9744     3
05859     0.9836     4
05860     0.8748     2
05861     0.9916     3
05862     0.9916     3
05863     0.9867     3
05864     0.9812     4
05865     0.8391     1
05866     0.9375     3
05867     0.9594     5
05868     0.9916     3
05869     0.9768     2
05870     0.8864     3
05871     0.9812     4
05872     0.9568     3
05873     0.9916     3
05874     0.9519     5
05875     0.9692     4
05876     0.9867     3
05877     0.6158     3
05878     0.9935     4
05879     0.8966     3
05880     0.9916     3
05881     0.9812     4
05882     0.9768     2
05883     0.9286     3
05884     0.9916     3
05885     0.9765     3
05886     0.9950     5
05887     0.9867     3
05888     0.9824     4
05889     0.8748     2
05890     0.9916     3
05891     0.8672     3
05892     0.9812     4
05893     0.9916     3
05894     0.9867     3
05895     0.9232     5
05896     0.9768     2
05897     0.8391     1
05898     0.9694     4
05899     0.9916     3
05900     0.9886     4
05901     0.9529     3
05902     0.9916     3
05903     0.9247     3
05904     0.9812     4
05905     0.9867     3
05906     0.9968     4
05907     0.9867     3
05908     0.9082     3
05909     0.9768     2
05910     0.9916     3
05911     0.9812     4
05912     1.0000     5
05913     0.8393     3
05914     0.9916     3
05915     0.9936     4
05916     0.8748     2
05917     0.9812     4
05918     0.9867     3
05919     0.9916     3
05920     0.9765     3
05921     0.9918     5
05922     0.9768     2
05923     0.9916     3
05924     0.9631     4
05925     0.9807     4
05926     0.9758     4
05927     0.9056     3
05928     0.9867     3
05929     0.9767     3
05930     0.8391     1
05931     0.9549     4
05932     0.8910     3
05933     0.9812     4
05934     0.9768     2
05935     0.9984     4
05936     0.9696     4
05937     0.9840     4
05938     0.9936     4
05939     0.9776     4
05940     0.9721     4
05941     0.9984     4
05942     0.9471     4
05943     0.8391     2
05944     0.9327     4
05945     0.9867     3
05946     0.9839     4
05947     0.8953     3
05948     0.9823     4
05949     0.9856     4
05950     0.9936     4
05951     0.8748     2
05952     0.9768     2
05953     0.9808     4
05954     0.9920     4
05955     0.9867     3
05956     0.9600     4
05957     0.9467     3
05958     0.9765     3
05959     0.9696     4
05960     0.9768     2
05961     1.0000     4
05962     0.9887     4
05963     0.9870     4
05964     0.9900     4
05965     0.9529     4
05966     0.8391     2
05967     0.9259     3
05968     0.9805     3
05969     0.8606     3
05970     0.9901     4
05971     0.9136     4
05972     0.8391     1
05973     0.9791     4
05974     0.9533     4
05975     0.9481     5
05976     0.9872     4
05977     0.9551     3
05978     0.9917     4
05979     0.9888     4
05980     0.9952     4
05981     1.0000     4
05982     0.9356     3
05983     0.9936     4
05984     0.9936     4
05985     0.9919     3
05986     0.9327     5
05987     0.8615     3
05988     0.9456     4
05989     0.9893     4
05990     0.8748     2
05991     0.9768     2
05992     0.9278     3
05993     0.9952     4
05994     0.9791     4
05995     0.9728     4
05996     0.8646     3
05997     1.0000     4
05998     1.0000     4
05999     0.9661     4
06000     0.9768     2
06001     0.9359     3
06002     0.9852     4
06003     0.9497     4
06004     0.9535     4
06005     1.0000     4
06006     0.9444     4
06007     0.8391     2
06008     0.9529     4
06009     0.8391     1
06010     0.9808     4
06011     0.9572     3
06012     0.9840     4
06013     0.9696     3
06014     0.9768     2
06015     0.9888     4
06016     0.9917     4
06017     0.8631     3
06018     0.9765     3
06019     1.0000     4
06020     0.8953     3
06021     0.9630     4
06022     0.9968     4
06023     0.9768     2
06024     0.9919     4
06025     0.9643     4
06026     0.9812     4
06027     0.9710     4
06028     0.9871     4
06029     0.9547     3
06030     0.9597     3
06031     0.8748     2
06032     0.9933     4
06033     0.9984     5
06034     0.9936     4
06035     0.8406     3
06036     0.9728     4
06037     0.8474     3
06038     0.9286     5
06039     0.9768     2
06040     0.9812     4
06041     0.9968     4
06042     0.9932     4
06043     0.8391     1
06044     0.9544     2
06045     0.9787     4
06046     0.9870     4
06047     0.9856     4
06048     0.9950     5
06049     0.9901     4
06050     0.9768     2
06051     0.9247     3
06052     0.9812     4
06053     0.9688     4
06054     0.9696     4
06055     0.9547     3
06056     0.9765     3
06057     0.9544     2
06058     0.9597     5
06059     0.9622     4
06060     0.9740     3
06061     0.8391     2
06062     0.9904     5
06063     0.9135     3
06064     0.9916     3
06065     1.0000     4
06066     0.9824     4
06067     0.9768     2
06068     0.9950     4
06069     1.0000     4
06070     0.9812     4
06071     0.8748     2
06072     1.0000     5
06073     0.9812     4
06074     0.9547     3
06075     0.9775     3
06076     0.9854     4
06077     0.9768     2
06078     0.9916     3
06079     0.8391     1
06080     0.9184     3
06081     0.9544     2
06082     0.9968     5
06083     0.9765     3
06084     0.9517     4
06085     0.9824     4
06086     0.9279     3
06087     0.9432     4
06088     0.8404     3
06089     0.9768     2
06090     0.9878     3
06091     0.9916     3
06092     0.9812     4
06093     0.9936     4
06094     0.9662     3
06095     0.9936     5
06096     1.0000     4
06097     0.9967     4
06098     0.9933     5
06099     0.9544     2
06100     1.0000     4
06101     0.9130     3
06102     0.9742     3
06103     0.9768     2
06104     1.0000     5
06105     0.9812     4
06106     0.9931     4
06107     0.9887     4
06108     0.9916     3
06109     0.9933     4
06110     0.9951     4
06111     0.9768     2
06112     0.9547     3
06113     0.9675     3
06114     0.9919     4
06115     0.9578     5
06116     0.9968     4
06117     0.9547     3
06118     0.8391     2
06119     0.8933     3
06120     0.9765     3
06121     0.8391     1
06122     0.9967     5
06123     0.8748     2
06124     0.9583     4
06125     0.9812     4
06126     0.9916     3
06127     0.9544     2
06128     0.9768     2
06129     0.9951     4
06130     0.9805     2
06131     0.9833     2
06132     0.7734     2
06133     0.9824     2
06134     0.9075     2
06135     0.8198     2
06136     0.7635     2
06137     0.7662     2
06138     0.8782     2
06139     0.9200     2
06140     0.9018     2
06141     0.7804     2
06142     0.7389     2
06143     0.9678     2
06144     0.9631     2
06145     0.9724     2
06146     0.9688     2
06147     0.9631     2
06148     0.8994     2
06149     0.9517     2
06150     0.9183     2
06151     0.9391     2
06152     0.9103     2
06153     0.9317     2
06154     0.8851     2
06155     0.9259     2
06156     0.9984     2
06157     0.9103     2
06158     0.8734     2
06159     0.9525     2
06160     0.8021     2
06161     0.9042     2
06162     0.9327     2
06163     0.9391     2
06164     0.9259     2
06165     0.8263     2
06166     0.9726     2
06167     0.8752     2
06168     0.8374     2
06169     0.9950     2
06170     0.9667     2
06171     0.8953     2
06172     0.9006     2
06173     0.9263     2
06174     0.9968     2
06175     0.9952     2
06176     0.8642     2
06177     0.8320     2
06178     0.9119     2
06179     0.7792     2
06180     0.9389     2
06181     1.0000     2
06182     0.8571     2
06183     0.7767     2
06184     0.9608     2
06185     0.8615     2
06186     0.9423     2
06187     0.9529     2
06188     0.8016     2
06189     0.9856     2
06190     0.8734     2
06191     0.8621     2
06192     0.8177     2
06193     0.9856     2
06194     0.9775     2
06195     0.9212     2
06196     0.8502     2
06197     0.8442     2
06198     0.9286     2
06199     0.9573     2
06200     0.8782     2
06201     0.8109     2
06202     0.9936     2
06203     0.8752     2
06204     0.7833     2
06205     0.7483     2
06206     0.7837     2
06207     0.9195     2
06208     0.8292     2
06209     0.9871     2
06210     0.9519     2
06211     0.9805     2
06212     0.8351     2
06213     0.9615     2
06214     0.7856     2
06215     0.8910     2
06216     0.9903     2
06217     0.8670     2
06218     0.8333     2
06219     0.8966     2
06220     0.8696     2
06221     0.8669     2
06222     0.9150     2
06223     0.8750     2
06224     0.9627     2
06225     0.8560     2
06226     0.9008     2
06227     0.9983     2
06228     0.9163     2
06229     0.9918     2
06230     0.8661     2
06231     0.8661     2
06232     0.8661     2
06233     0.8661     2
06234     0.8661     2
06235     0.8661     2
06236     0.8661     2
06237     0.8661     2
06238     0.8661     2
06239     0.8661     2
06240     0.8661     2
06241     0.8661     2
06242     0.8661     2
06243     0.8661     2
06244     0.9519     3
06245     0.9360     3
06246     0.9212     3
06247     0.9750     3
06248     1.0000     3
06249     1.0000     3
06250     0.9737     3
06251     0.9600     3
06252     0.9838     3
06253     1.0000     3
06254     0.9952     3
06255     1.0000     3
06256     0.9903     3
06257     0.9949     3
06258     0.9888     3
06259     0.9952     3
06260     0.9758     3
06261     0.9740     3
06262     0.9647     3
06263     0.9840     3
06264     0.9551     3
06265     0.9904     3
06266     0.9796     3
06267     0.9643     3
06268     0.9903     3
06269     0.9936     3
06270     0.9872     3
06271     0.8661     2
06272     0.9807     3
06273     0.9664     3
06274     0.8661     2
06275     0.9567     3
06276     0.9805     3
06277     0.9968     3
06278     0.8661     2
06279     0.9968     3
06280     0.9968     3
06281     1.0000     3
06282     0.8661     2
06283     1.0000     3
06284     0.9854     3
06285     0.9760     3
06286     0.8661     2
06287     0.9984     3
06288     0.9750     3
06289     0.9951     3
06290     0.8661     2
06291     0.9968     3
06292     0.9968     3
06293     0.9931     3
06294     0.8661     2
06295     1.0000     3
06296     0.9791     3
06297     0.9679     3
06298     0.9622     3
06299     0.9416     3
06300     0.9359     3
06301     0.9507     3
06302     0.9469     3
06303     0.9696     3
06304     0.9920     3
06305     0.9066     3
06306     0.9617     3
06307     0.9042     3
06308     0.9467     3
06309     1.0000     3
06310     0.9855     3
06311     0.9504     3
06312     0.8960     3
06313     0.9855     3
06314     0.9568     3
06315     0.9664     3
06316     0.9839     3
06317     0.8615     3
06318     0.8824     3
06319     0.9519     3
06320     0.9497     3
06321     1.0000     3
06322     0.9850     3
06323     0.9949     3
06324     0.9610     3
06325     0.9854     3
06326     0.9327     3
06327     0.9600     3
06328     0.9803     3
06329     0.9140     3
06330     0.9343     3
06331     0.9310     3
06332     0.9151     3
06333     0.8942     3
06334     0.8661     2
06335     0.9694     3
06336     1.0000     3
06337     0.9679     3
06338     0.9984     3
06339     0.9808     3
06340     0.9080     3
06341     0.8661     2
06342     0.9904     3
06343     1.0000     3
06344     1.0000     3
06345     0.9948     3
06346     0.9808     3
06347     0.9311     3
06348     0.8661     2
06349     0.9513     3
06350     0.9768     3
06351     0.9179     3
06352     0.9840     3
06353     0.9871     3
06354     0.8661     2
06355     0.9626     3
06356     0.9936     3
06357     0.9296     3
06358     0.9775     3
06359     0.9726     3
06360     0.9651     3
06361     0.8661     2
06362     0.9840     3
06363     0.9087     3
06364     1.0000     3
06365     0.9807     3
06366     1.0000     3
06367     0.9359     3
06368     0.8661     2
06369     1.0000     3
06370     0.9646     3
06371     0.9824     3
06372     0.9885     3
06373     0.8883     3
06374     0.9392     3
06375     0.8661     2
06376     0.9869     3
06377     0.9472     3
06378     0.9692     3
06379     0.9836     3
06380     0.9823     3
06381     0.8661     2
06382     0.9936     3
06383     0.9610     3
06384     0.9872     3
06385     0.9952     3
06386     0.9726     3
06387     0.9838     3
06388     0.9195     3
06389     0.9952     3
06390     0.8661     2
06391     0.9968     3
06392     0.9952     3
06393     0.8832     3
06394     0.9904     3
06395     1.0000     3
06396     0.8661     2
06397     0.9567     3
06398     0.9789     3
06399     0.9404     3
06400     0.9838     3
06401     0.9856     3
06402     0.9409     3
06403     0.9950     3
06404     0.8661     2
06405     1.0000     3
06406     0.9648     3
06407     1.0000     3
06408     1.0000     3
06409     0.9323     3
06410     0.9983     3
06411     0.9655     3
06412     0.9904     3
06413     0.8661     2
06414     0.9903     3
06415     0.9375     3
06416     0.8864     3
06417     0.9901     3
06418     0.9758     3
06419     0.9871     4
06420     0.9678     3
06421     0.9219     3
06422     0.8391     1
06423     0.9791     4
06424     0.9334     3
06425     0.9622     5
06426     1.0000     4
06427     0.9547     3
06428     0.7917     3
06429     0.9440     3
06430     0.9760     3
06431     0.9248     5
06432     0.9839     4
06433     0.8661     2
06434     0.9952     3
06435     0.9854     4
06436     1.0000     3
06437     0.9984     4
06438     0.9916     3
06439     0.9327     3
06440     0.9919     4
06441     0.9768     2
06442     0.9544     2
06443     0.8748     2
06444     0.9812     4
06445     0.9812     4
06446     0.9488     4
06447     0.9792     4
06448     0.9200     3
06449     0.9768     2
06450     0.9808     3
06451     0.9205     5
06452     1.0000     4
06453     0.9789     3
06454     0.9916     3
06455     1.0000     4
06456     0.9683     4
06457     0.9547     3
06458     0.9840     5
06459     0.8391     2
06460     0.8391     1
06461     0.9901     4
06462     0.9867     3
06463     0.9887     3
06464     0.9934     5
06465     0.9950     3
06466     0.9765     3
06467     0.9519     3
06468     0.9519     3
06469     0.8998     3
06470     0.9544     2
06471     0.9812     4
06472     0.9768     2
06473     0.9744     4
06474     0.9984     4
06475     0.9888     3
06476     0.9646     4
06477     0.8766     3
06478     0.9253     5
06479     0.9688     3
06480     0.9812     4
06481     0.9916     3
06482     0.9754     3
06483     0.9871     3
06484     1.0000     4
06485     0.9547     3
06486     0.9758     5
06487     0.8480     3
06488     0.9768     2
06489     0.9839     4
06490     0.9217     3
06491     0.9839     3
06492     0.9867     3
06493     0.9728     5
06494     0.9916     3
06495     0.8661     2
06496     0.9812     4
06497     0.9544     2
06498     0.9812     4
06499     0.9768     2
06500     0.9867     3
06501     0.9728     4
06502     0.9327     3
06503     1.0000     4
06504     0.8391     1
06505     0.9675     5
06506     0.8748     2
06507     0.9952     4
06508     0.9765     3
06509     0.9886     5
06510     0.9491     5
06511     0.9768     2
06512     0.8864     3
06513     0.9547     3
06514     0.9840     3
06515     0.9524     4
06516     0.9812     4
06517     0.9589     3
06518     0.9916     3
06519     0.9839     5
06520     0.8391     2
06521     0.9544     2
06522     0.9950     5
06523     0.9768     2
06524     0.9867     3
06525     0.9351     4
06526     0.9507     3
06527     0.9696     3
06528     0.9728     3
06529     0.9568     3
06530     0.9903     3
06531     0.9855     5
06532     0.9943     3
06533     0.9616     4
06534     0.9308     3
06535     0.9943     3
06536     0.9943     3
06537     0.9547     3
06538     0.9943     3
06539     0.9375     3
06540     0.9943     3
06541     0.9812     4
06542     0.9943     3
06543     0.9984     5
06544     0.9610     4
06545     0.8391     1
06546     0.9943     3
06547     0.9436     3
06548     0.9544     2
06549     0.9267     5
06550     0.8900     3
06551     0.9943     3
06552     0.9943     3
06553     0.9943     3
06554     0.9917     5
06555     0.9943     3
06556     0.9943     3
06557     0.9943     3
06558     0.9597     5
06559     0.9327     3
06560     0.9867     3
06561     0.9409     3
06562     0.9943     3
06563     0.8748     2
06564     0.9984     4
06565     0.9916     3
06566     0.9934     4
06567     0.9547     3
06568     0.9919     4
06569     0.9643     4
06570     0.8792     3
06571     0.9767     3
06572     0.7334     3
06573     0.7821     1
06574     0.9544     2
06575     0.9919     4
06576     1.0000     4
06577     0.9392     3
06578     0.9737     4
06579     0.9951     5
06580     0.9704     5
06581     0.9724     4
06582     0.9022     3
06583     0.9750     4
06584     0.9936     4
06585     0.9436     3
06586     0.9871     4
06587     0.9688     3
06588     0.9227     4
06589     0.8391     1
06590     0.9544     2
06591     0.9163     3
06592     0.9417     3
06593     0.9983     4
06594     0.9231     5
06595     0.9647     4
06596     0.9812     4
06597     1.0000     4
06598     0.9983     4
06599     0.9901     4
06600     0.9107     3
06601     0.9867     3
06602     0.9984     4
06603     0.9968     5
06604     0.9943     3
06605     0.9485     3
06606     0.9916     3
06607     0.9356     3
06608     0.9839     4
06609     1.0000     5
06610     0.9943     3
06611     0.9544     2
06612     0.9904     4
06613     0.9547     3
06614     0.9294     3
06615     0.9943     3
06616     0.8400     3
06617     0.9630     5
06618     0.9904     4
06619     0.9943     3
06620     0.9951     4
06621     0.8391     2
06622     0.9824     4
06623     0.8748     2
06624     0.9567     5
06625     0.9943     3
06626     0.9901     4
06627     0.8245     3
06628     0.9943     3
06629     0.8391     1
06630     0.9547     3
06631     0.9692     4
06632     0.9943     3
06633     0.9901     4
06634     0.9630     4
06635     0.9544     2
06636     0.9660     3
06637     0.9812     4
06638     0.9943     3
06639     0.9908     4
06640     0.9519     5
06641     0.9632     4
06642     0.9911     4
06643     0.9504     3
06644     0.9856     5
06645     0.9639     3
06646     0.8433     3
06647     0.9943     3
06648     0.9871     4
06649     0.9547     3
06650     0.9833     3
06651     0.9934     3
06652     0.9786     3
06653     0.9583     3
06654     0.9951     3
06655     1.0000     3
06656     0.9867     3
06657     0.9452     3
06658     0.9646     3
06659     0.9372     3
06660     0.9943     3
06661     0.9867     3
06662     0.9221     3
06663     0.9984     4
06664     0.9916     3
06665     0.8944     3
06666     0.9728     4
06667     0.9943     3
06668     0.9904     5
06669     0.9984     4
06670     0.9943     3
06671     0.9544     2
06672     0.9871     3
06673     0.9968     4
06674     0.9675     3
06675     0.9700     3
06676     0.9943     3
06677     0.9812     4
06678     0.9659     3
06679     0.9881     4
06680     0.9952     3
06681     0.9710     3
06682     0.9952     3
06683     0.9824     3
06684     0.9519     3
06685     0.9627     3
06686     0.9744     4
06687     0.9261     3
06688     0.9388     3
06689     0.9964     3
06690     0.9943     3
06691     0.8391     1
06692     0.8748     2
06693     0.9310     5
06694     1.0000     4
06695     0.8617     3
06696     0.9943     3
06697     0.9540     4
06698     0.9871     3
06699     0.9726     3
06700     0.9898     3
06701     0.9469     3
06702     0.9351     3
06703     0.9600     3
06704     0.9952     5
06705     0.9943     3
06706     0.9887     3
06707     0.9775     3
06708     0.9900     3
06709     0.9455     3
06710     0.9916     3
06711     0.9943     3
06712     0.9471     3
06713     1.0000     4
